City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,uusikaupunki,60.8004,21.4084,33.13,77,14,20.49,FI,1675131698
336,sokoni,-6.4333,39.55,80.6,75,95,9.95,TZ,1675131699
337,broome,42.2506,-75.833,30.45,83,100,5.75,US,1675131467
338,juneau,58.3019,-134.4197,34.21,94,100,12.66,US,1675131434
339,puerto del rosario,28.5004,-13.8627,62.35,63,40,16.11,ES,1675131532
340,prieska,-29.6641,22.7474,72.79,45,0,2.75,ZA,1675131700
341,shubarkuduk,49.1447,56.4872,4.82,93,28,6.69,KZ,1675131700
342,tecoanapa,16.5167,-98.75,78.13,75,5,8.16,MX,1675131701
343,zarichne,51.8126,26.129,32.36,97,100,10.6,UA,1675131701
344,sonari,27.0667,95.0333,59.05,51,0,0.34,IN,1675131624
345,whitehorse,60.7161,-135.0538,21.97,85,100,2.3,CA,1675131702
346,mumford,5.2618,-0.759,78.94,87,97,6.76,GH,1675131702
347,havelock,34.8791,-76.9013,57.15,89,100,4.61,US,1675131443
348,samarai,-10.6167,150.6667,85.33,68,37,8.86,PG,1675131703
349,fortuna,40.5982,-124.1573,47.66,68,0,0.0,US,1675131472
350,iraquara,-12.2486,-41.6194,71.31,80,5,5.28,BR,1675131703
351,arawa,-6.2132,155.5367,88.2,57,70,6.53,PG,1675131704
352,humaita,-7.5061,-63.0208,73.35,94,83,2.53,BR,1675131704
353,vostok,46.4856,135.8833,1.44,86,100,4.99,RU,1675131705
354,petauke,-14.2426,31.3253,64.63,95,97,4.12,ZM,1675131705
355,fernley,39.608,-119.2518,23.09,49,0,0.78,US,1675131705
356,oyama,36.3,139.8,42.58,29,0,0.43,JP,1675131706
357,bonthe,7.5264,-12.505,76.64,86,59,3.36,SL,1675131706
358,roebourne,-20.7833,117.1333,93.88,44,73,5.7,AU,1675131707
359,yarada,17.65,83.2667,73.72,94,75,2.3,IN,1675131707
360,abu dhabi,24.4667,54.3667,60.96,90,0,3.0,AE,1675131574
361,meulaboh,4.1363,96.1285,79.09,84,100,2.51,ID,1675131468
362,tashtyp,52.7939,89.8983,-0.15,96,95,2.35,RU,1675131688
363,dipalpur,30.6709,73.6529,48.06,93,0,5.93,PK,1675131708
364,alur,12.9833,75.9833,65.21,89,98,4.45,IN,1675131708
365,longyearbyen,78.2186,15.6401,17.44,67,20,10.36,SJ,1675131455
366,taltal,-25.4,-70.4833,66.69,77,99,2.95,CL,1675131709
